Subprefeitura;Zona
Vila Prudente;Zona Leste
Sapopemba;Zona Leste
Freguesia do Ó/Brasilândia;Zona Norte
Casa Verde;Zona Norte
Santana/Tucuruvi;Zona Norte
Jaçanã/Tremembé;Zona Norte
Vila Maria/Vila Guilherme;Zona Norte
Penha;Zona Leste
Ermelino Matarazzo;Zona Leste
São Miguel;Zona Leste
Itaim Paulista;Zona Leste
Itaquera;Zona Leste
Guaianazes;Zona Leste
Lapa;Zona Oeste
Sé;Centro
Mooca;Zona Leste
Aricanduva/Vila Formosa;Zona Leste
São Mateus;Zona Leste
Ipiranga;Zona Sul
Vila Mariana;Zona Sul
Butantã;Zona Oeste
Pinheiros;Zona Oeste
Campo Limpo;Zona Sul
M'Boi Mirim;Zona Sul
Capela do Socorro;Zona Sul
Cidade Ademar;Zona Sul
Parelheiros;Zona Sul
Santo Amaro;Zona Sul
Cidade Tiradentes;Zona Leste
Perus;Zona Norte
Jabaquara;Zona Sul
Pirituba/Jaraguá;Zona Norte
